<doc metapath="./data/AnnotatedFile/Train/362.meta">
 <entity time="2003-06-01" type="TimeEntity">
  <token_ref ref-id="0-43" word="June"></token_ref>
  <token_ref ref-id="0-44" word="1"></token_ref>
 </entity>
 <entity time="2003-06-01-WXX-7" type="TimeEntity">
  <token_ref ref-id="0-60" word="Sunday"></token_ref>
 </entity>
 <entity time="2003-W22-WE" type="TimeEntity">
  <token_ref ref-id="17-32" word="weekend"></token_ref>
 </entity>
 <entity time="2003-09" type="TimeEntity">
  <token_ref ref-id="17-40" word="September"></token_ref>
 </entity>
 <entity time="2001-11" type="TimeEntity">
  <token_ref ref-id="18-10" word="November"></token_ref>
  <token_ref ref-id="18-11" word="2001"></token_ref>
 </entity>
 <entity time="PRESENT_REF" type="TimeEntity">
  <token_ref ref-id="19-23" word="now"></token_ref>
 </entity>
 <entity time="2012-XX-XX" type="TimeEntity">
  <token_ref ref-id="22-34" word="the"></token_ref>
  <token_ref ref-id="22-35" word="year"></token_ref>
  <token_ref ref-id="22-36" word="2012"></token_ref>
 </entity>
 <entity time="2003-05-31-WXX-6" type="TimeEntity">
  <token_ref ref-id="23-7" word="Saturday"></token_ref>
 </entity>
 <sentence>
  <dependency head="ROOT-0" dependent="STORY-4" type="root"></dependency>
  <dependency head="STORY-4" dependent="AFP_ENG_20030601-1" type="compound"></dependency>
  <dependency head="STORY-4" dependent=".0262-2" type="nummod"></dependency>
  <dependency head="STORY-4" dependent="NEWS-3" type="compound"></dependency>
  <dependency head="STORY-4" dependent="Bush-6" type="dep"></dependency>
  <dependency head="STORY-4" dependent="pal-9" type="appos"></dependency>
  <dependency head="STORY-4" dependent="said-59" type="parataxis"></dependency>
  <dependency head="Bush-6" dependent="20030601-5" type="nummod"></dependency>
  <dependency head="pal-9" dependent="Putin-8" type="compound"></dependency>
  <dependency head="pal-9" dependent="up-10" type="dep"></dependency>
  <dependency head="up-10" dependent="simmers-18" type="dep"></dependency>
  <dependency head="up-10" dependent="spat-13" type="nmod"></dependency>
  <dependency head="spat-13" dependent="after-11" type="case"></dependency>
  <dependency head="spat-13" dependent="Iraq-12" type="compound"></dependency>
  <dependency head="row-17" dependent="Iran-16" type="compound"></dependency>
  <dependency head="simmers-18" dependent="row-17" type="nsubj"></dependency>
  <dependency head="simmers-18" dependent="PICTURES-24" type="nmod"></dependency>
  <dependency head="simmers-18" dependent="but-15" type="cc"></dependency>
  <dependency head="PICTURES-24" dependent="by-19" type="case"></dependency>
  <dependency head="PICTURES-24" dependent="Stephen-20" type="compound"></dependency>
  <dependency head="PICTURES-24" dependent="Collinson-21" type="compound"></dependency>
  <dependency head="PICTURES-24" dependent="=-22" type="amod"></dependency>
  <dependency head="PICTURES-24" dependent="ATTENTION-27" type="dep"></dependency>
  <dependency head="PICTURES-24" dependent="ADDS-29" type="dep"></dependency>
  <dependency head="ATTENTION-27" dependent="=-26" type="amod"></dependency>
  <dependency head="ADDS-29" dependent="minister-32" type="dobj"></dependency>
  <dependency head="minister-32" dependent="quotes-36" type="appos"></dependency>
  <dependency head="minister-32" dependent="Russian-30" type="amod"></dependency>
  <dependency head="minister-32" dependent="foreign-31" type="amod"></dependency>
  <dependency head="quotes-36" dependent="US-34" type="compound"></dependency>
  <dependency head="quotes-36" dependent="official-35" type="amod"></dependency>
  <dependency head="PETERSBURG-41" dependent="SAINT-40" type="compound"></dependency>
  <dependency head="PETERSBURG-41" dependent="June-43" type="appos"></dependency>
  <dependency head="June-43" dependent="Bush-53" type="dep"></dependency>
  <dependency head="June-43" dependent="1-44" type="nummod"></dependency>
  <dependency head="June-43" dependent="AFP-46" type="appos"></dependency>
  <dependency head="Bush-53" dependent="US-49" type="compound"></dependency>
  <dependency head="Bush-53" dependent="President-50" type="compound"></dependency>
  <dependency head="Bush-53" dependent="George-51" type="compound"></dependency>
  <dependency head="Bush-53" dependent="W.-52" type="compound"></dependency>
  <dependency head="Bush-53" dependent="and-54" type="cc"></dependency>
  <dependency head="Bush-53" dependent="Putin-58" type="conj"></dependency>
  <dependency head="Putin-58" dependent="Russian-55" type="compound"></dependency>
  <dependency head="Putin-58" dependent="President-56" type="compound"></dependency>
  <dependency head="Putin-58" dependent="Vladimir-57" type="compound"></dependency>
  <dependency head="said-59" dependent="strong-65" type="ccomp"></dependency>
  <dependency head="said-59" dependent="PETERSBURG-41" type="nsubj"></dependency>
  <dependency head="said-59" dependent="Sunday-60" type="nmod:tmod"></dependency>
  <dependency head="friendship-62" dependent="their-61" type="nmod:poss"></dependency>
  <dependency head="strong-65" dependent="as-64" type="advmod"></dependency>
  <dependency head="strong-65" dependent="ever-67" type="advcl"></dependency>
  <dependency head="strong-65" dependent="laying-69" type="ccomp"></dependency>
  <dependency head="strong-65" dependent="friendship-62" type="nsubj"></dependency>
  <dependency head="strong-65" dependent="was-63" type="cop"></dependency>
  <dependency head="ever-67" dependent="as-66" type="case"></dependency>
  <dependency head="laying-69" dependent="concealing-80" type="conj"></dependency>
  <dependency head="laying-69" dependent="aside-70" type="advmod"></dependency>
  <dependency head="laying-69" dependent="war-76" type="nmod"></dependency>
  <dependency head="laying-69" dependent="but-78" type="cc"></dependency>
  <dependency head="aside-70" dependent="dispute-72" type="nmod:npmod"></dependency>
  <dependency head="dispute-72" dependent="a-71" type="det"></dependency>
  <dependency head="war-76" dependent="over-73" type="case"></dependency>
  <dependency head="war-76" dependent="the-74" type="det"></dependency>
